,F(N),M_b (N.m),σ_b(MPa),δ(mm),E(GPa),E_avg(GPa)
میله فولادی         (D=8 mm)  ,5,0.9375,18.651,0.32,202.3759,193.2183
,10,1.5625,31.0849,0.68,190.471,
,15,2.1875,43.5189,1.04,186.808,
میله برنجی        (D=8 mm)  ,5,0.9375,18.651,1.10,58.8729,59.0822
,10,1.5625,31.0849,2.19,59.1418,
,15,2.1875,43.5189,3.28,59.232,
میله آلومینیومی  (D=8 mm)  ,5,0.9375,18.651,0.98,66.0819,66.4987
,10,1.5625,31.0849,1.95,66.4208,
,15,2.1875,43.5189,2.9,66.9934,
تیر فولادی               (625 mm),5,0.9375,6.25,0.13,222.5783,220.7234
,10,1.5625,10.4167,0.26,222.5783,
,15,2.1875,14.5833,0.4,217.0138,
تیر چوبی             (628 mm),5,0.9375,5.5804,1.61,16.0465,16.0465
,10,1.5625,9.3006,3.22,16.0465,